years_to_retire,salary,investment_amount_per_month,current_savings,monthly_expenses,debt,number_of_dependents,city,goal_savings
30,168000,39600.0,239277,111600.0,250583,3,Kolkata,13784000.0
20,56300,9000.0,260708,38900.0,292282,4,Chennai,2313000.0
8,144500,35800.0,196468,81600.0,148560,3,Mumbai,3462000.0
2,155500,28500.0,73625,92500.0,95379,3,Lucknow,724000.0
4,132700,13800.0,1179191,74700.0,436424,5,Ahmedabad,1809000.0
10,84500,22800.0,352932,45900.0,320314,4,Jaipur,2953000.0
20,144500,22600.0,93721,75100.0,170027,3,Lucknow,5247000.0
35,36300,9900.0,818484,20700.0,201896,0,Chennai,4769000.0
10,44400,11100.0,1397745,27300.0,165784,3,Chennai,2663000.0
28,70400,12800.0,978580,42700.0,20111,0,Lucknow,5065000.0
15,196500,45200.0,754560,102800.0,497594,5,Delhi,8485000.0
1,119400,35600.0,419849,78300.0,55225,1,Bangalore,826000.0
22,129900,21000.0,1993424,81100.0,318912,2,Kolkata,7261000.0
27,52100,9900.0,383139,30000.0,479804,3,Chennai,3431000.0
29,175600,22800.0,498849,117300.0,404036,5,Jaipur,8038000.0
15,90000,24700.0,1283524,54200.0,499083,5,Ahmedabad,5508000.0
10,186300,39200.0,1968434,100900.0,38179,5,Ahmedabad,6438000.0
20,55000,6600.0,1399096,37600.0,392736,4,Kolkata,2904000.0
22,74900,16400.0,1081013,44500.0,23289,5,Kolkata,5195000.0
9,24200,4700.0,1303153,13900.0,406722,1,Bangalore,1785000.0
32,169200,27300.0,1494004,113500.0,351517,2,Kolkata,11455000.0
17,25200,2600.0,1335565,16300.0,14994,2,Pune,1840000.0
19,134900,19300.0,136609,75000.0,160307,5,Chennai,4318000.0
27,81800,11500.0,162478,44500.0,343175,5,Lucknow,3703000.0
34,113600,27600.0,102135,63100.0,345904,1,Hyderabad,10801000.0
10,159000,24100.0,1828680,89800.0,151872,1,Ahmedabad,4576000.0
30,76800,22700.0,378548,43400.0,65828,5,Hyderabad,8143000.0
21,171200,23400.0,299163,102800.0,426875,3,Mumbai,5902000.0
21,164500,45800.0,1562967,102200.0,111270,1,Lucknow,12529000.0
34,42900,7400.0,1372262,23700.0,498813,4,Chennai,4241000.0
9,106400,31900.0,878127,62500.0,38544,5,Delhi,4152000.0
34,121100,31600.0,1072805,77000.0,316518,2,Chennai,13323000.0
12,151900,33500.0,428102,89700.0,449484,0,Delhi,5012000.0
21,28300,7500.0,217336,17400.0,297044,4,Pune,2013000.0
20,75100,21000.0,680752,38400.0,20354,1,Chennai,5469000.0
6,21600,6500.0,1899068,14300.0,143545,1,Pune,2344000.0
12,62800,8400.0,124912,36500.0,482662,2,Ahmedabad,1274000.0
31,157500,34200.0,1586130,105400.0,474996,3,Hyderabad,13674000.0
2,15600,2800.0,838554,9100.0,222532,3,Ahmedabad,902000.0
16,195500,34600.0,307675,120900.0,376832,0,Chennai,6620000.0
1,190800,43200.0,1526200,100100.0,33086,2,Delhi,2019000.0
4,73800,14800.0,1679913,44400.0,185628,2,Lucknow,2355000.0
1,107800,28300.0,1408920,60800.0,218012,2,Lucknow,1732000.0
35,115900,19200.0,975960,63900.0,148551,3,Mumbai,8638000.0
13,101600,20900.0,1829510,69300.0,290049,1,Chennai,4927000.0
31,139600,40900.0,566108,80500.0,145063,2,Lucknow,15022000.0
20,84500,10000.0,498398,56300.0,248887,0,Delhi,2779000.0
7,155100,23800.0,1952057,103200.0,126381,2,Jaipur,3852000.0
33,134300,16200.0,801984,87800.0,177648,2,Kolkata,6897000.0
28,110700,12500.0,1288998,70500.0,180941,4,Mumbai,5280000.0
20,195600,20200.0,1247225,111900.0,244856,5,Mumbai,5854000.0
32,133800,23200.0,164473,79500.0,364237,1,Bangalore,8629000.0
9,134800,36400.0,264296,93600.0,308727,5,Hyderabad,3999000.0
34,166000,24600.0,1363319,90100.0,118739,4,Pune,10900000.0
14,130500,21500.0,802221,82300.0,183164,1,Lucknow,4234000.0
4,102400,27800.0,264580,66500.0,222062,0,Ahmedabad,1532000.0
29,111100,14400.0,498189,59200.0,183620,1,Pune,5260000.0
15,178400,26300.0,1701685,106900.0,279597,0,Ahmedabad,6200000.0
17,123400,29900.0,1988520,65200.0,279139,3,Hyderabad,7784000.0
19,151300,37600.0,750374,91700.0,461560,3,Lucknow,8896000.0
9,181300,31100.0,56766,111600.0,220122,3,Kolkata,3248000.0
27,130600,13300.0,156901,69600.0,224267,0,Chennai,4251000.0
15,168000,29600.0,251806,100900.0,243861,0,Chennai,5314000.0
28,172400,41900.0,1556298,88800.0,178082,1,Ahmedabad,14933000.0
4,160400,39000.0,1631886,109300.0,378237,2,Kolkata,3411000.0
21,106100,19500.0,1581249,74200.0,126628,1,Ahmedabad,6250000.0
34,47300,8000.0,534788,32900.0,403175,0,Pune,3636000.0
19,178200,42800.0,1931069,109500.0,37685,3,Mumbai,11203000.0
4,174300,50500.0,199110,119700.0,181836,2,Jaipur,2502000.0
32,107700,27800.0,197586,66100.0,51004,1,Delhi,10341000.0
12,111100,16200.0,826909,76200.0,300851,2,Pune,3043000.0
16,120300,35200.0,1675226,70400.0,359221,0,Pune,8097000.0
14,179100,39700.0,1934607,124700.0,236038,5,Mumbai,8272000.0
1,60400,7400.0,502545,41900.0,94841,2,Lucknow,587000.0
32,116400,19500.0,1389242,79900.0,283626,5,Lucknow,8504000.0
21,57900,14200.0,680260,35100.0,90994,4,Mumbai,4080000.0
4,87200,23900.0,1360190,56700.0,55792,3,Hyderabad,2450000.0
9,86100,17700.0,1618629,45700.0,311359,0,Ahmedabad,3435000.0
22,194500,24800.0,588917,129600.0,174045,3,Jaipur,6810000.0
12,145400,18100.0,1858266,90700.0,233732,0,Lucknow,4335000.0
30,165500,27300.0,1306735,95800.0,101435,1,Ahmedabad,10645000.0
30,174800,18800.0,1070923,121600.0,114665,3,Kolkata,7501000.0
32,74000,13600.0,1342085,39300.0,228017,5,Lucknow,6304000.0
7,131600,33600.0,1485862,88600.0,308071,2,Jaipur,4168000.0
17,161600,31100.0,1648590,89000.0,274311,3,Mumbai,7677000.0
1,131300,34900.0,364198,86900.0,105198,2,Ahmedabad,762000.0
14,179400,41500.0,1348720,125600.0,163626,0,Chennai,7973000.0
26,165000,22900.0,395120,97700.0,360052,4,Pune,7184000.0
27,122400,17500.0,1405512,81900.0,269220,5,Jaipur,6793000.0
16,120900,20500.0,431375,84100.0,35163,2,Jaipur,4171000.0
7,103700,21500.0,265682,70200.0,412712,5,Kolkata,1982000.0
32,148200,34900.0,1424423,86000.0,73580,2,Lucknow,14158000.0
25,141800,19100.0,1820142,91800.0,14954,1,Jaipur,7264000.0
31,21200,2800.0,1882816,14800.0,331890,4,Delhi,2872000.0
16,182300,18700.0,1908019,91700.0,316375,0,Ahmedabad,5319000.0
14,192200,23600.0,408462,113000.0,77249,1,Pune,4176000.0
25,117700,29500.0,197762,67000.0,474033,1,Mumbai,8607000.0
30,163800,18200.0,1743386,102300.0,361312,1,Jaipur,7969000.0
7,157800,34900.0,705830,109500.0,205604,3,Kolkata,3491000.0
12,29200,6400.0,243074,15800.0,52868,2,Bangalore,1119000.0
3,160500,47900.0,869076,106700.0,313956,1,Lucknow,2508000.0
27,51800,12200.0,990460,31200.0,272293,4,Kolkata,4746000.0
19,104000,24900.0,1277089,59900.0,10697,2,Jaipur,6671000.0
7,30300,3600.0,1510718,20100.0,303319,0,Delhi,1798000.0
16,15800,4300.0,1184338,10600.0,142044,3,Ahmedabad,1969000.0
32,106500,17500.0,126607,68500.0,144120,5,Lucknow,6512000.0
8,89300,14500.0,782448,45800.0,346485,5,Mumbai,2105000.0
13,110000,21200.0,1544365,74100.0,173097,5,Ahmedabad,4687000.0
11,95700,23100.0,327803,63800.0,327947,4,Pune,3225000.0
20,64200,10200.0,1135371,35700.0,11360,3,Chennai,3461000.0
18,192600,49200.0,1052014,119500.0,437088,1,Pune,11149000.0
6,151900,22700.0,765903,103500.0,179320,5,Hyderabad,2319000.0
20,187900,23400.0,1501740,104600.0,60480,2,Chennai,6838000.0
32,48500,11600.0,288972,28300.0,264504,2,Lucknow,4521000.0
29,148400,42200.0,1898978,76500.0,137921,0,Pune,15852000.0
4,190900,53800.0,1750896,109900.0,87870,3,Bangalore,4205000.0
7,63300,7100.0,922309,36800.0,143310,5,Bangalore,1489000.0
20,70800,12600.0,133776,47300.0,441470,1,Hyderabad,3007000.0
34,19900,3100.0,1665340,10000.0,35890,5,Chennai,2867000.0
7,183500,35000.0,1217698,110600.0,405085,3,Kolkata,4011000.0
33,71800,7900.0,949617,40200.0,79743,5,Hyderabad,3922000.0
15,21800,4000.0,889466,13600.0,196503,1,Pune,1574000.0
32,110600,32300.0,220690,56800.0,429929,5,Jaipur,12005000.0
22,34600,7400.0,140524,20300.0,97189,5,Kolkata,1997000.0
29,119400,17100.0,842377,78800.0,62436,4,Ahmedabad,6496000.0
25,196500,51500.0,152429,106300.0,28744,4,Pune,14832000.0
5,185900,33400.0,1742617,114900.0,161406,0,Hyderabad,3647000.0
14,43900,4900.0,1208785,25600.0,318527,3,Bangalore,1991000.0
35,168700,28800.0,1893696,99900.0,12088,3,Hyderabad,13387000.0
2,144000,37800.0,588186,82900.0,179140,3,Mumbai,1450000.0
25,104300,15000.0,770900,58200.0,407852,3,Delhi,5047000.0
16,158300,26200.0,635310,83400.0,299976,2,Mumbai,5415000.0
16,28600,4400.0,1292147,15900.0,390919,3,Pune,2095000.0
11,40400,11300.0,1132800,28200.0,189419,5,Bangalore,2550000.0
35,166200,26400.0,383564,114600.0,159426,0,Jaipur,10919000.0
23,38100,5600.0,1175372,19400.0,313985,3,Hyderabad,2644000.0
5,114400,32700.0,1471762,60100.0,237812,3,Pune,3336000.0
35,21500,6400.0,248297,14400.0,70377,0,Bangalore,2802000.0
29,164300,35900.0,1280427,87900.0,256151,3,Chennai,13151000.0
5,46800,13400.0,238036,27100.0,243095,4,Chennai,1002000.0
3,110100,27900.0,170486,57000.0,71455,5,Mumbai,1125000.0
6,72200,9900.0,416238,37100.0,296317,5,Hyderabad,1093000.0
23,94300,22300.0,1491264,58700.0,338194,2,Lucknow,7339000.0
2,62600,16200.0,270488,41500.0,420059,1,Chennai,640000.0
18,168800,42000.0,1004246,90000.0,270000,0,Jaipur,9624000.0
30,86600,17800.0,715570,53300.0,497626,3,Ahmedabad,6804000.0
5,188900,38400.0,167625,121400.0,258203,4,Kolkata,2357000.0
11,51700,13700.0,687716,35900.0,425132,5,Mumbai,2406000.0
1,178300,42400.0,1169108,124700.0,15104,3,Hyderabad,1653000.0
10,64200,16600.0,1862374,36500.0,373169,4,Ahmedabad,3755000.0
26,180600,25600.0,121838,99400.0,321462,1,Kolkata,7711000.0
33,114600,33600.0,182705,71500.0,447135,0,Ahmedabad,12825000.0
27,193800,47800.0,1711907,103700.0,270988,4,Delhi,16427000.0
12,45400,8400.0,404260,25600.0,276096,1,Mumbai,1554000.0
2,194000,42700.0,1465119,119500.0,413414,5,Ahmedabad,2439000.0
1,107300,24500.0,1332712,54600.0,383672,1,Ahmedabad,1612000.0
1,71400,18600.0,1007694,42000.0,465798,2,Lucknow,1220000.0
33,106100,25500.0,746454,59500.0,215476,1,Hyderabad,10341000.0
22,194000,52200.0,689943,100600.0,64556,5,Ahmedabad,13784000.0
12,130200,23300.0,1737070,68000.0,412322,2,Jaipur,4925000.0
21,134500,24800.0,140361,76500.0,31775,4,Hyderabad,6078000.0
20,59300,8200.0,1955665,31100.0,58900,0,Hyderabad,3826000.0
26,108600,22100.0,281381,68900.0,212253,3,Kolkata,6833000.0
31,82200,14800.0,1221905,43300.0,27943,1,Ahmedabad,6453000.0
1,122400,28500.0,1547076,66700.0,855,0,Delhi,1872000.0
14,166100,36600.0,201054,96500.0,218902,0,Bangalore,6043000.0
26,103200,28000.0,714643,68300.0,234031,0,Lucknow,9015000.0
7,130200,17400.0,1766502,79400.0,253810,2,Bangalore,3155000.0
12,73500,20800.0,542567,46500.0,24008,2,Delhi,3388000.0
24,105000,15100.0,877693,60600.0,446431,1,Delhi,5010000.0
19,160000,39100.0,1393078,90700.0,244868,2,Hyderabad,9863000.0
9,120800,24100.0,1808751,77900.0,385088,4,Delhi,4282000.0
35,113600,27300.0,86891,65400.0,400447,4,Hyderabad,10981000.0
4,61500,12700.0,299209,38600.0,39126,4,Bangalore,878000.0
32,35200,8100.0,1171048,21700.0,434619,2,Jaipur,4126000.0
6,24300,6100.0,204676,16900.0,61230,2,Ahmedabad,622000.0
28,142800,19800.0,1934404,78800.0,88879,3,Hyderabad,8256000.0
28,81500,13700.0,184381,41100.0,202357,3,Kolkata,4558000.0
29,171000,46800.0,912578,103400.0,164027,5,Delhi,16387000.0
5,56400,15100.0,264886,31000.0,61230,4,Lucknow,1126000.0
5,187100,44200.0,219101,129700.0,384969,4,Chennai,2739000.0
28,74800,12000.0,1252423,48200.0,127897,5,Hyderabad,5083000.0
9,146200,20700.0,1102393,81100.0,126558,1,Mumbai,3227000.0
29,149800,16400.0,1633906,92700.0,173831,4,Kolkata,7057000.0
14,173400,49700.0,1752092,92000.0,450948,2,Jaipur,9685000.0
34,77300,17600.0,1594693,52000.0,211411,3,Jaipur,8417000.0
14,46400,8500.0,1945252,26300.0,447752,0,Bangalore,3302000.0
18,136400,32500.0,853581,93400.0,200303,5,Chennai,7524000.0
33,132300,25300.0,747385,76300.0,155785,5,Kolkata,10267000.0
34,124000,21100.0,1003572,62900.0,87593,5,Delhi,9183000.0
28,18000,3600.0,1795994,10200.0,193753,2,Mumbai,2945000.0
23,151200,37400.0,867475,99000.0,83568,0,Hyderabad,10675000.0
17,16700,4500.0,569471,10400.0,58807,4,Bangalore,1442000.0
11,180900,21700.0,190168,119100.0,155171,4,Mumbai,2912000.0
32,146000,16500.0,481909,92700.0,22121,0,Bangalore,6502000.0
15,147300,24800.0,1488905,92000.0,152000,1,Kolkata,5730000.0
4,22200,2400.0,1986068,12200.0,50803,2,Jaipur,2096000.0
30,53600,10700.0,376924,33500.0,495995,5,Pune,4037000.0
10,86100,22800.0,1367002,59200.0,150978,3,Bangalore,3967000.0
23,128400,21800.0,203926,83300.0,424376,1,Pune,5921000.0
24,142100,27700.0,152989,75400.0,21151,3,Ahmedabad,7733000.0
5,54400,11700.0,1669519,32300.0,41039,4,Bangalore,2337000.0
19,195100,55200.0,836894,129400.0,170559,3,Jaipur,12795000.0
8,39900,11400.0,515504,20600.0,253575,4,Bangalore,1555000.0
7,109800,24900.0,1930567,57400.0,187556,3,Jaipur,3918000.0
13,124600,12700.0,911880,64800.0,278145,2,Kolkata,2794000.0
27,60300,8300.0,1323194,33800.0,195908,4,Ahmedabad,3878000.0
18,103000,14500.0,1318321,61900.0,309764,4,Ahmedabad,4294000.0
24,175200,38500.0,436734,108900.0,255206,3,Kolkata,10972000.0
2,58000,14000.0,474338,33000.0,380283,0,Lucknow,794000.0
16,106400,12500.0,1868764,56500.0,204662,5,Delhi,4149000.0
14,36400,5700.0,484780,20300.0,296677,3,Delhi,1395000.0
17,74000,14900.0,701139,39100.0,487808,2,Hyderabad,3589000.0
6,65900,16800.0,1868945,41400.0,364477,5,Mumbai,3018000.0
35,163600,27600.0,1341881,99700.0,444638,4,Ahmedabad,12356000.0
17,91700,18300.0,1990582,48800.0,145191,2,Ahmedabad,5538000.0
6,118100,23500.0,844432,70500.0,495952,4,Hyderabad,2452000.0
21,71000,20300.0,1241910,43600.0,250212,2,Mumbai,6102000.0
35,121400,32700.0,1128776,67300.0,177389,4,Kolkata,14178000.0
23,65600,17800.0,997374,35200.0,480391,0,Pune,5665000.0
12,129600,17300.0,1238109,86700.0,97498,4,Bangalore,3605000.0
29,71200,19900.0,798600,40000.0,290353,3,Ahmedabad,7379000.0
27,134700,24100.0,712177,78600.0,307435,5,Pune,8131000.0
6,62100,13000.0,1191353,43400.0,450953,1,Chennai,2081000.0
21,124800,27800.0,211387,73500.0,471871,2,Hyderabad,6868000.0
7,73600,13700.0,277197,42400.0,52893,2,Ahmedabad,1371000.0
16,36300,6100.0,1933891,20600.0,211369,4,Chennai,3047000.0
5,73300,11000.0,806995,40000.0,54742,5,Kolkata,1434000.0
15,48700,9900.0,979203,30600.0,150661,4,Bangalore,2672000.0
21,184500,49400.0,561875,119600.0,172845,3,Pune,12390000.0
4,146700,37100.0,1546022,79200.0,388880,2,Ahmedabad,3238000.0
5,161700,32700.0,1390631,99200.0,235789,4,Ahmedabad,3255000.0
7,22200,3700.0,304391,14300.0,458856,4,Delhi,600000.0
35,23100,2400.0,1581774,14200.0,16056,3,Chennai,2540000.0
15,147400,20900.0,1259343,101500.0,116585,0,Jaipur,4834000.0
28,91900,12600.0,1853387,56400.0,308816,3,Kolkata,5876000.0
2,65900,14300.0,1593150,34600.0,440002,0,Lucknow,1919000.0
5,33600,9500.0,1833447,23300.0,105200,3,Mumbai,2375000.0
7,115500,18900.0,1099817,74900.0,99960,2,Ahmedabad,2608000.0
22,16800,4300.0,147714,11000.0,347784,0,Bangalore,1226000.0
31,189300,31400.0,51955,115100.0,415905,2,Lucknow,11150000.0
32,54700,16000.0,436369,30700.0,217385,1,Hyderabad,6274000.0
8,15800,2200.0,467734,11000.0,14926,1,Kolkata,668000.0
11,114800,20800.0,1085601,75500.0,484004,1,Delhi,3694000.0
1,40400,5200.0,733759,21400.0,430818,3,Chennai,793000.0
19,193700,28100.0,1623911,110700.0,209373,5,Pune,7711000.0
7,75200,9100.0,341803,51100.0,257769,1,Bangalore,1068000.0
25,94100,11500.0,706481,58300.0,77257,3,Lucknow,3984000.0
22,175500,39600.0,190412,91900.0,228671,1,Kolkata,10124000.0
27,171300,44000.0,1861384,89600.0,228522,3,Mumbai,15407000.0
15,194800,22600.0,128857,102400.0,41274,3,Ahmedabad,3994000.0
2,112000,16200.0,1654381,56800.0,38268,1,Kolkata,2024000.0
8,186000,30500.0,623875,113100.0,22981,0,Kolkata,3406000.0
6,41200,11800.0,1761188,26200.0,395322,4,Pune,2568000.0
20,57100,12500.0,225734,33700.0,497935,4,Bangalore,3076000.0
27,161100,19600.0,1083626,96400.0,498808,2,Lucknow,7117000.0
23,178700,31100.0,972180,92200.0,148269,3,Pune,9128000.0
17,98100,23800.0,1166962,55700.0,112791,2,Kolkata,5780000.0
13,182900,54100.0,1438311,116100.0,467420,5,Kolkata,9457000.0
4,61700,15300.0,201641,35900.0,36466,2,Ahmedabad,899000.0
20,107900,14700.0,1907472,58800.0,226174,4,Kolkata,5260000.0
25,194800,51400.0,1590319,116400.0,365241,1,Mumbai,16242000.0
22,148100,14900.0,1905113,78200.0,191595,5,Jaipur,5643000.0
17,157200,30900.0,457993,91600.0,270427,3,Hyderabad,6447000.0
11,51700,8700.0,1728968,31900.0,234448,3,Hyderabad,2820000.0
25,145300,42000.0,106663,78300.0,256061,0,Bangalore,12078000.0
5,133600,14600.0,1835487,90200.0,439595,0,Chennai,2668000.0
21,16400,2500.0,653735,9400.0,199592,0,Hyderabad,1252000.0
26,195100,29600.0,804601,99700.0,145335,1,Chennai,9579000.0
16,146000,27000.0,1570532,75800.0,121702,3,Delhi,6496000.0
21,93700,26700.0,104809,61400.0,493820,0,Lucknow,6498000.0
32,98700,22800.0,321148,68900.0,83496,3,Lucknow,8640000.0
4,64200,8000.0,711956,32800.0,398346,0,Delhi,1077000.0
8,71100,18800.0,1064979,39000.0,387538,1,Chennai,2780000.0
9,108600,24500.0,416512,71200.0,128791,2,Bangalore,2931000.0
17,80000,8300.0,872812,43500.0,229385,3,Lucknow,2482000.0
13,88900,25200.0,751255,58800.0,381870,4,Pune,4486000.0
9,160400,17600.0,341171,103000.0,115685,2,Pune,2147000.0
6,155600,34500.0,1388301,92300.0,174035,1,Ahmedabad,3748000.0
27,182600,40200.0,1045711,94700.0,98244,1,Delhi,13421000.0
24,157600,34900.0,1383772,87300.0,417132,5,Mumbai,10934000.0
9,140800,38000.0,205754,79100.0,290054,1,Ahmedabad,4105000.0
11,148400,18500.0,1717575,103100.0,390528,1,Delhi,4038000.0
35,191500,39600.0,881599,131300.0,454861,3,Mumbai,16684000.0
29,131800,28300.0,813129,66900.0,442354,5,Jaipur,10171000.0
8,142400,25600.0,1556105,94900.0,158907,4,Mumbai,3891000.0
17,29900,6100.0,1289462,18000.0,29653,0,Chennai,2472000.0
7,58100,11600.0,1138126,35300.0,105337,0,Pune,2064000.0
12,143700,36200.0,1595752,90900.0,253829,0,Bangalore,6549000.0
15,36200,4700.0,830754,24800.0,182316,0,Lucknow,1635000.0
29,167400,17700.0,654963,113900.0,123486,0,Lucknow,6507000.0
24,193400,55400.0,974205,122700.0,274189,5,Kolkata,16134000.0
14,120500,19600.0,586792,75200.0,383247,5,Delhi,3715000.0
11,190400,49200.0,570943,102000.0,237857,3,Hyderabad,6742000.0
35,62500,10200.0,1744688,31900.0,361774,3,Delhi,5815000.0
17,182200,18400.0,564771,121000.0,295800,0,Ahmedabad,4131000.0
27,187600,26800.0,1220700,105000.0,301293,5,Delhi,9471000.0
3,16400,2000.0,1840491,10100.0,1103,4,Chennai,1909000.0
2,117600,31100.0,1893615,78700.0,330727,0,Jaipur,2603000.0
4,162300,21800.0,1568636,109800.0,14920,1,Chennai,2563000.0
18,114500,34200.0,1131530,72200.0,473937,5,Ahmedabad,8150000.0
20,89600,19900.0,1667069,47200.0,91647,2,Delhi,6205000.0
21,188700,31100.0,1927616,116900.0,458201,4,Delhi,9374000.0
14,47800,9600.0,1999148,27800.0,355251,4,Kolkata,3532000.0
8,158100,46200.0,224908,80800.0,425184,4,Delhi,4439000.0
2,180400,41000.0,1705433,125800.0,62874,3,Delhi,2640000.0
26,136500,34200.0,390499,76700.0,339314,3,Delhi,10529000.0
19,161700,32100.0,1235759,97900.0,122212,5,Delhi,8190000.0
28,80700,16700.0,598955,53500.0,87245,4,Pune,5930000.0
29,84700,25100.0,362570,50900.0,119070,5,Ahmedabad,8662000.0
5,164100,36200.0,1884699,89900.0,217123,0,Kolkata,3948000.0
28,25200,5300.0,300981,13500.0,441389,3,Kolkata,1993000.0
26,152100,41800.0,265349,104100.0,157837,5,Jaipur,12657000.0
5,25000,4700.0,197272,14600.0,439960,5,Chennai,465000.0
15,168000,32700.0,1630519,93500.0,263465,3,Bangalore,7223000.0
9,127000,30700.0,868359,76400.0,57732,4,Hyderabad,4019000.0
32,44100,5800.0,1069090,24000.0,19410,5,Ahmedabad,3185000.0
26,112300,14200.0,1200645,62700.0,401924,3,Jaipur,5410000.0
15,149300,33400.0,194112,97300.0,23800,4,Ahmedabad,5906000.0
4,110500,15100.0,465930,72700.0,492716,3,Mumbai,1155000.0
20,27700,5200.0,1604526,15600.0,398450,3,Pune,2790000.0
27,153300,40000.0,1989785,78500.0,71613,1,Lucknow,14304000.0
21,141200,22900.0,183142,81300.0,336171,4,Mumbai,5666000.0
22,17000,4200.0,401080,10800.0,361525,0,Ahmedabad,1455000.0
7,64200,10600.0,1747985,43800.0,418356,1,Kolkata,2594000.0
31,76800,8300.0,1772792,49700.0,259156,2,Bangalore,4706000.0
17,73600,8700.0,578312,39300.0,126928,2,Kolkata,2265000.0
7,23100,4300.0,714697,13800.0,216351,2,Mumbai,1058000.0
19,164800,27000.0,440711,92800.0,179835,2,Delhi,6290000.0
28,145700,28200.0,966606,93500.0,404430,4,Mumbai,9969000.0
10,145400,29800.0,1081581,100900.0,241665,5,Kolkata,4479000.0
27,66300,19100.0,1583919,35100.0,275553,5,Hyderabad,7464000.0
13,96600,18800.0,321728,54100.0,437969,4,Mumbai,3108000.0
2,101500,27600.0,1181412,62300.0,477266,5,Lucknow,1811000.0
22,150300,40600.0,1180382,81000.0,116358,5,Mumbai,11364000.0
20,91800,25500.0,1105517,53200.0,460515,5,Kolkata,6920000.0
5,119300,24800.0,498565,79100.0,180683,1,Ahmedabad,1912000.0
6,38900,6100.0,1132855,22100.0,43888,2,Chennai,1550000.0
35,145900,37500.0,357377,78100.0,77304,4,Kolkata,15322000.0
1,53300,8800.0,1417879,30200.0,140452,4,Chennai,1518000.0
35,78500,21900.0,1616226,51000.0,430456,3,Chennai,10356000.0
3,123100,14900.0,1824109,68700.0,166211,0,Ahmedabad,2334000.0
7,82200,19400.0,1938344,51200.0,51558,0,Lucknow,3487000.0
29,163400,32100.0,1531717,108200.0,74131,1,Kolkata,12146000.0
15,176000,39000.0,461778,94000.0,235785,3,Pune,7132000.0
11,89700,11000.0,1712639,59900.0,344232,2,Mumbai,3092000.0
18,31200,9200.0,1988280,18200.0,37533,2,Delhi,3876000.0
4,166600,40500.0,1531680,107100.0,329786,4,Hyderabad,3379000.0
24,37400,5900.0,545741,25400.0,39992,3,Chennai,2160000.0
11,114800,31900.0,1636104,78800.0,482220,5,Bangalore,5637000.0
6,36700,7000.0,97685,21000.0,470815,1,Ahmedabad,577000.0
18,81900,11200.0,1907256,57100.0,484824,3,Hyderabad,4206000.0
15,38600,7200.0,1321479,23500.0,150302,0,Lucknow,2553000.0
3,117100,19200.0,447720,76600.0,77510,2,Kolkata,1104000.0
17,28300,6800.0,1784967,16500.0,222905,5,Delhi,3103000.0
33,140300,14600.0,1492643,79300.0,269938,3,Kolkata,6986000.0
34,79000,21800.0,1858248,50200.0,268940,3,Mumbai,10309000.0
30,112700,21000.0,840222,60100.0,63456,0,Lucknow,8023000.0
19,188300,23100.0,700832,128300.0,475181,5,Ahmedabad,5705000.0
9,23700,6000.0,307020,16100.0,148883,3,Hyderabad,923000.0
31,81400,24200.0,409047,56400.0,158464,0,Hyderabad,8963000.0
27,65100,18300.0,1983992,37500.0,460203,2,Kolkata,7618000.0
25,19300,2600.0,1829492,10500.0,463592,0,Chennai,2571000.0
7,15600,2200.0,574031,8900.0,308394,2,Pune,750000.0
7,74400,22100.0,913773,45300.0,410057,3,Pune,2678000.0
20,80100,11300.0,223046,40700.0,486032,4,Pune,2800000.0
19,89800,14400.0,312896,54000.0,51259,5,Hyderabad,3432000.0
2,119400,26800.0,1558027,60300.0,53370,0,Kolkata,2169000.0
34,30300,4800.0,278643,20000.0,143780,1,Chennai,2139000.0
17,171100,30200.0,673917,101000.0,371526,4,Pune,6528000.0
24,127500,31700.0,817692,70200.0,139803,1,Pune,9492000.0
9,176100,38500.0,1015962,89800.0,31031,3,Pune,4967000.0
1,73100,19200.0,1662045,45300.0,425365,3,Chennai,1881000.0
28,19300,4900.0,423392,11500.0,31168,0,Pune,1988000.0
15,134700,35000.0,627992,90000.0,150857,2,Pune,6614000.0
21,181300,24600.0,212942,124000.0,436387,0,Ahmedabad,6103000.0
15,137600,20800.0,1287054,83000.0,205295,2,Lucknow,4844000.0
23,155800,21300.0,101528,87100.0,427150,1,Mumbai,5687000.0
2,93400,11600.0,1139789,50200.0,38832,0,Pune,1404000.0
9,141000,38100.0,606530,72100.0,126445,0,Mumbai,4516000.0
2,154300,15500.0,1746047,90600.0,214267,1,Pune,2099000.0
2,75200,17000.0,572742,45000.0,385645,3,Mumbai,960000.0
18,48400,13300.0,451879,26300.0,127371,2,Pune,3181000.0
17,112900,15100.0,1562838,58100.0,426212,5,Mumbai,4490000.0
8,170900,48900.0,362733,110700.0,365996,0,Delhi,4823000.0
34,107300,31300.0,107059,65400.0,224708,5,Delhi,12241000.0
34,159900,34600.0,311088,108100.0,36272,3,Pune,13724000.0
5,71800,16800.0,1393599,47200.0,473394,1,Bangalore,2351000.0
29,101100,13900.0,1305505,52400.0,275441,5,Bangalore,5902000.0
28,21300,6300.0,348142,13400.0,196197,3,Lucknow,2359000.0
16,106600,26400.0,369909,72500.0,6792,1,Jaipur,5186000.0
14,62700,12700.0,1625118,39700.0,176639,2,Kolkata,3652000.0
2,86800,17400.0,561401,53400.0,289481,3,Delhi,958000.0
4,51900,11600.0,1484650,35300.0,14087,0,Ahmedabad,2014000.0
